R01_point_id,R01_shear_rate_s_inv,R01_stress_Pa,R01_viscosity_Pa_s,R01_temperature_C,R01_elapsed_s,R01_segment_s,R02_point_id,R02_shear_rate_s_inv,R02_stress_Pa,R02_viscosity_Pa_s,R02_temperature_C,R02_elapsed_s,R02_segment_s,R03_point_id,R03_shear_rate_s_inv,R03_stress_Pa,R03_viscosity_Pa_s,R03_temperature_C,R03_elapsed_s,R03_segment_s,R04_point_id,R04_shear_rate_s_inv,R04_stress_Pa,R04_viscosity_Pa_s,R04_temperature_C,R04_elapsed_s,R04_segment_s,R05_point_id,R05_shear_rate_s_inv,R05_stress_Pa,R05_viscosity_Pa_s,R05_temperature_C,R05_elapsed_s,R05_segment_s,R06_point_id,R06_shear_rate_s_inv,R06_stress_Pa,R06_viscosity_Pa_s,R06_temperature_C,R06_elapsed_s,R06_segment_s
2|55,454.6,8.17,0.01797,24.92,469.7,165,2|55,454.6,49.42,0.1087,24.88,484.6,165,2|55,454.6,106.3,0.2338,25.36,467.4,165,2|55,454.6,277.4,0.6102,25.52,468.2,165,2|55,454.6,284.1,0.625,25.7,931,330,2|55,454.6,48.55,0.1068,25.19,936.4,330
2|56,444.5,8.031,0.01807,24.93,472.7,168,2|56,444.5,48.88,0.11,24.88,487.6,168,2|56,444.5,105.1,0.2365,25.36,470.4,168,2|56,444.5,277,0.6231,25.52,471.2,168,2|56,444.5,281.6,0.6336,25.68,937,336,2|56,444.5,48.3,0.1087,25.18,942.4,336
2|57,434.4,8.007,0.01843,24.94,475.7,171,2|57,434.4,48.21,0.111,24.87,490.6,171,2|57,434.4,103.9,0.2393,25.36,473.4,171,2|57,434.4,275.2,0.6336,25.52,474.2,171,2|57,434.4,279,0.6424,25.68,943,342,2|57,434.4,47.44,0.1092,25.18,948.4,342
2|58,424.3,8.014,0.01889,24.94,478.7,174,2|58,424.3,47.52,0.112,24.87,493.6,174,2|58,424.3,102.9,0.2424,25.35,476.4,174,2|58,424.3,273.1,0.6436,25.51,477.2,174,2|58,424.3,276.7,0.6521,25.67,949,348,2|58,424.3,46.72,0.1101,25.18,954.4,348
2|59,414.2,7.991,0.01929,24.94,481.7,177,2|59,414.2,46.77,0.1129,24.88,496.6,177,2|59,414.2,101.6,0.2453,25.36,479.4,177,2|59,414.2,270.7,0.6535,25.52,480.2,177,2|59,414.2,277.4,0.6698,25.68,955,354,2|59,414.2,46.08,0.1112,25.19,960.4,354
2|60,404.1,7.79,0.01928,24.94,484.7,180,2|60,404.1,46.02,0.1139,24.88,499.6,180,2|60,404.1,100.3,0.2483,25.37,482.4,180,2|60,404.1,268.4,0.6642,25.51,483.2,180,2|60,404.1,275.4,0.6815,25.69,961,360,2|60,404.1,45.44,0.1124,25.19,966.4,360
2|61,394,7.683,0.0195,24.94,487.7,183,2|61,394,45.13,0.1146,24.88,502.6,183,2|61,394,99.07,0.2514,25.37,485.4,183,2|61,394,266.4,0.6762,25.53,486.2,183,2|61,394,272.8,0.6923,25.69,967,366,2|61,394,44.72,0.1135,25.17,972.4,366
2|62,383.9,7.657,0.01995,24.94,490.7,186,2|62,383.9,44.38,0.1156,24.87,505.6,186,2|62,383.9,97.74,0.2546,25.35,488.4,186,2|62,383.9,264.8,0.6896,25.51,489.2,186,2|62,383.9,270.4,0.7044,25.68,973,372,2|62,383.9,44.07,0.1148,25.19,978.4,372
2|63,373.8,7.581,0.02028,24.93,493.7,189,2|63,373.8,43.65,0.1168,24.87,508.6,189,2|63,373.8,96.37,0.2578,25.36,491.4,189,2|63,373.8,262.8,0.703,25.54,492.2,189,2|63,373.8,267.8,0.7165,25.69,979,378,2|63,373.8,43.32,0.1159,25.17,984.4,378
2|64,363.7,7.407,0.02036,24.94,496.7,192,2|64,363.7,42.94,0.1181,24.87,511.6,192,2|64,363.7,95.02,0.2613,25.35,494.4,192,2|64,363.7,260.7,0.7167,25.53,495.2,192,2|64,363.7,265,0.7285,25.69,985,384,2|64,363.7,42.56,0.117,25.19,990.4,384
2|65,353.6,7.293,0.02063,24.95,499.7,195,2|65,353.6,42.15,0.1192,24.88,514.6,195,2|65,353.6,93.54,0.2645,25.36,497.4,195,2|65,353.6,258.4,0.7307,25.53,498.2,195,2|65,353.6,261.8,0.7405,25.68,991,390,2|65,353.6,41.81,0.1182,25.18,996.4,390
2|66,343.5,7.064,0.02057,24.93,502.7,198,2|66,343.5,41.38,0.1205,24.87,517.6,198,2|66,343.5,92.14,0.2682,25.36,500.4,198,2|66,343.5,255.9,0.745,25.52,501.2,198,2|66,343.5,258.9,0.7536,25.69,997,396,2|66,343.5,41.08,0.1196,25.2,1002,396
2|67,333.4,6.823,0.02046,24.95,505.7,201,2|67,333.4,40.74,0.1222,24.89,520.6,201,2|67,333.4,90.73,0.2721,25.36,503.4,201,2|67,333.4,253.4,0.7601,25.52,504.2,201,2|67,333.4,255.8,0.7673,25.69,1003,402,2|67,333.4,40.44,0.1213,25.18,1008,402
2|68,323.3,6.624,0.02049,24.94,508.7,204,2|68,323.3,39.96,0.1236,24.87,523.6,204,2|68,323.3,89.22,0.276,25.37,506.4,204,2|68,323.3,250.6,0.7752,25.53,507.2,204,2|68,323.3,252.6,0.7812,25.7,1009,408,2|68,323.3,39.56,0.1224,25.2,1014,408
2|69,313.2,6.624,0.02115,24.94,511.7,207,2|69,313.2,39.31,0.1255,24.88,526.6,207,2|69,313.2,87.72,0.2801,25.37,509.4,207,2|69,313.2,247.7,0.7909,25.52,510.2,207,2|69,313.2,249.1,0.7955,25.7,1015,414,2|69,313.2,38.83,0.124,25.19,1020,414
2|70,303.1,6.289,0.02075,24.93,514.7,210,2|70,303.1,38.42,0.1268,24.87,529.6,210,2|70,303.1,86.15,0.2842,25.36,512.4,210,2|70,303.1,244.6,0.8068,25.54,513.2,210,2|70,303.1,245.6,0.8102,25.7,1021,420,2|70,303.1,38.02,0.1254,25.19,1026,420
2|71,293,6.112,0.02086,24.94,517.7,213,2|71,293,37.66,0.1285,24.87,532.6,213,2|71,293,84.55,0.2886,25.37,515.4,213,2|71,293,241.2,0.8231,25.52,516.2,213,2|71,293,241.8,0.8253,25.69,1027,426,2|71,293,37.17,0.1269,25.21,1032,426
2|72,282.9,5.976,0.02112,24.94,520.7,216,2|72,282.9,36.85,0.1303,24.88,535.6,216,2|72,282.9,83.09,0.2937,25.37,518.4,216,2|72,282.9,238,0.8413,25.52,519.2,216,2|72,282.9,237.8,0.8406,25.69,1033,432,2|72,282.9,36.49,0.129,25.19,1038,432
2|73,272.8,5.732,0.02101,24.94,523.7,219,2|73,272.8,36.02,0.132,24.89,538.6,219,2|73,272.8,81.4,0.2984,25.38,521.4,219,2|73,272.8,234.3,0.8589,25.53,522.2,219,2|73,272.8,233.4,0.8557,25.69,1039,438,2|73,272.8,35.67,0.1307,25.2,1044,438
2|74,262.7,5.788,0.02203,24.93,526.7,222,2|74,262.7,35.19,0.134,24.88,541.6,222,2|74,262.7,79.56,0.3029,25.37,524.4,222,2|74,262.7,230.5,0.8772,25.54,525.2,222,2|74,262.7,229.2,0.8726,25.69,1045,444,2|74,262.7,34.81,0.1325,25.21,1050,444
2|75,252.6,5.655,0.02239,24.94,529.7,225,2|75,252.6,34.31,0.1358,24.88,544.6,225,2|75,252.6,77.9,0.3084,25.38,527.4,225,2|75,252.6,226.4,0.8963,25.52,528.2,225,2|75,252.6,224.9,0.8905,25.68,1051,450,2|75,252.6,34.13,0.1351,25.19,1056,450
2|76,242.5,5.568,0.02296,24.93,532.7,228,2|76,242.5,33.43,0.1379,24.89,547.6,228,2|76,242.5,76.11,0.3139,25.36,530.4,228,2|76,242.5,222.2,0.9163,25.53,531.2,228,2|76,242.5,220.4,0.9088,25.7,1057,456,2|76,242.5,33.24,0.1371,25.2,1062,456
2|77,232.4,5.412,0.02329,24.93,535.7,231,2|77,232.4,32.54,0.14,24.89,550.6,231,2|77,232.4,74.25,0.3195,25.36,533.4,231,2|77,232.4,217.8,0.9373,25.53,534.2,231,2|77,232.4,215.7,0.9283,25.69,1063,462,2|77,232.4,32.44,0.1396,25.19,1068,462
2|78,222.3,5.206,0.02342,24.94,538.7,234,2|78,222.3,31.64,0.1423,24.88,553.6,234,2|78,222.3,71.98,0.3238,25.37,536.4,234,2|78,222.3,213.3,0.9595,25.53,537.2,234,2|78,222.3,210.9,0.9486,25.69,1069,468,2|78,222.3,31.65,0.1424,25.2,1074,468
2|79,212.2,5.001,0.02357,24.94,541.7,237,2|79,212.2,30.72,0.1448,24.88,556.6,237,2|79,212.2,70.03,0.33,25.38,539.4,237,2|79,212.2,208.4,0.9821,25.53,540.2,237,2|79,212.2,205.9,0.9704,25.7,1075,474,2|79,212.2,30.67,0.1445,25.2,1080,474
2|80,202.1,4.804,0.02377,24.93,544.7,240,2|80,202.1,29.8,0.1475,24.89,559.6,240,2|80,202.1,68.13,0.3371,25.37,542.4,240,2|80,202.1,203.6,1.008,25.53,543.2,240,2|80,202.1,200.7,0.9928,25.69,1081,480,2|80,202.1,29.75,0.1472,25.2,1086,480
2|81,192,4.595,0.02393,24.93,547.7,243,2|81,192,28.84,0.1502,24.9,562.6,243,2|81,192,66.19,0.3447,25.38,545.4,243,2|81,192,198.4,1.033,25.53,546.2,243,2|81,192,195.3,1.017,25.7,1087,486,2|81,192,28.79,0.15,25.2,1092,486
2|82,181.9,4.335,0.02383,24.94,550.7,246,2|82,181.9,27.81,0.1529,24.89,565.6,246,2|82,181.9,64.16,0.3527,25.36,548.4,246,2|82,181.9,192.8,1.06,25.53,549.2,246,2|82,181.9,189.8,1.043,25.69,1093,492,2|82,181.9,27.77,0.1527,25.2,1098,492
2|83,171.8,4.119,0.02398,24.92,553.7,249,2|83,171.8,26.95,0.1569,24.89,568.6,249,2|83,171.8,62.06,0.3612,25.36,551.4,249,2|83,171.8,187.1,1.089,25.54,552.2,249,2|83,171.8,184,1.071,25.69,1099,498,2|83,171.8,26.75,0.1557,25.21,1104,498
2|84,161.7,3.809,0.02356,24.94,556.7,252,2|84,161.7,25.96,0.1605,24.9,571.6,252,2|84,161.7,59.91,0.3705,25.38,554.4,252,2|84,161.7,181.1,1.12,25.53,555.2,252,2|84,161.7,178.2,1.102,25.69,1105,504,2|84,161.7,25.69,0.1589,25.2,1110,504
2|85,151.6,3.572,0.02356,24.95,559.7,255,2|85,151.6,25.13,0.1658,24.89,574.6,255,2|85,151.6,57.71,0.3806,25.37,557.4,255,2|85,151.6,174.9,1.154,25.52,558.2,255,2|85,151.6,172.2,1.136,25.69,1111,510,2|85,151.6,24.67,0.1627,25.21,1116,510
2|86,141.5,3.597,0.02542,24.94,562.7,258,2|86,141.5,24.04,0.1699,24.89,577.6,258,2|86,141.5,55.46,0.3919,25.35,560.4,258,2|86,141.5,168.7,1.192,25.52,561.2,258,2|86,141.5,166.1,1.174,25.71,1117,516,2|86,141.5,23.49,0.166,25.21,1122,516
2|87,131.4,3.291,0.02505,24.95,565.7,261,2|87,131.4,22.96,0.1748,24.88,580.6,261,2|87,131.4,53.13,0.4044,25.38,563.4,261,2|87,131.4,162.2,1.234,25.52,564.2,261,2|87,131.4,159.7,1.216,25.7,1123,522,2|87,131.4,22.31,0.1698,25.21,1128,522
2|88,121.3,3.032,0.02499,24.94,568.7,264,2|88,121.3,21.9,0.1805,24.88,583.6,264,2|88,121.3,50.69,0.4179,25.37,566.4,264,2|88,121.3,155.5,1.282,25.53,567.2,264,2|88,121.3,153.1,1.262,25.7,1129,528,2|88,121.3,21.1,0.174,25.2,1134,528
2|89,111.2,3.028,0.02723,24.95,571.7,267,2|89,111.2,20.71,0.1863,24.89,586.6,267,2|89,111.2,48.21,0.4335,25.37,569.4,267,2|89,111.2,148.7,1.337,25.53,570.2,267,2|89,111.2,146.2,1.315,25.7,1135,534,2|89,111.2,20.08,0.1806,25.22,1140,534
2|90,101.1,2.71,0.0268,24.95,574.7,270,2|90,101.1,19.3,0.1909,24.89,589.6,270,2|90,101.1,45.58,0.4509,25.37,572.4,270,2|90,101.1,141.4,1.399,25.54,573.2,270,2|90,101.1,139,1.375,25.7,1141,540,2|90,101.1,19,0.188,25.21,1146,540
2|91,91,2.6,0.02857,24.94,577.7,273,2|91,91,18.25,0.2005,24.87,592.6,273,2|91,91,42.85,0.4708,25.38,575.4,273,2|91,91,133.8,1.471,25.53,576.2,273,2|91,91,131.4,1.444,25.71,1147,546,2|91,91,17.85,0.1961,25.22,1152,546
2|92,80.9,2.327,0.02877,24.94,580.7,276,2|92,80.9,16.91,0.209,24.9,595.6,276,2|92,80.9,39.96,0.494,25.38,578.4,276,2|92,80.9,125.6,1.552,25.53,579.2,276,2|92,80.9,123.7,1.528,25.7,1153,552,2|92,80.9,16.43,0.2031,25.22,1158,552
2|93,70.8,2.022,0.02857,24.95,583.7,279,2|93,70.8,15.32,0.2164,24.88,598.6,279,2|93,70.8,36.98,0.5223,25.38,581.4,279,2|93,70.8,117,1.653,25.54,582.2,279,2|93,70.8,115.5,1.631,25.7,1159,558,2|93,70.8,15.27,0.2156,25.22,1164,558
2|94,60.7,1.815,0.02989,24.94,586.7,282,2|94,60.7,13.79,0.2273,24.9,601.6,282,2|94,60.7,33.69,0.555,25.37,584.4,282,2|94,60.7,107.8,1.775,25.53,585.2,282,2|94,60.7,106.3,1.751,25.71,1165,564,2|94,60.7,13.69,0.2256,25.22,1170,564
2|95,50.6,1.527,0.03017,24.93,589.7,285,2|95,50.6,12.51,0.2472,24.9,604.6,285,2|95,50.6,30.1,0.5948,25.38,587.4,285,2|95,50.6,97.59,1.929,25.53,588.2,285,2|95,50.6,96.45,1.906,25.71,1171,570,2|95,50.6,12.35,0.2441,25.21,1176,570
2|96,40.5,1.361,0.03359,24.93,592.7,288,2|96,40.5,10.97,0.2709,24.89,607.6,288,2|96,40.5,26.46,0.6532,25.37,590.4,288,2|96,40.5,86.94,2.147,25.54,591.2,288,2|96,40.5,85.52,2.112,25.71,1177,576,2|96,40.5,10.62,0.2621,25.21,1182,576
2|97,30.4,1.005,0.03305,24.94,595.7,291,2|97,30.4,9.105,0.2995,24.88,610.6,291,2|97,30.4,22.45,0.7384,25.38,593.4,291,2|97,30.4,74.41,2.448,25.54,594.2,291,2|97,30.4,73.11,2.405,25.72,1183,582,2|97,30.4,8.731,0.2872,25.23,1188,582
2|98,20.3,0.8063,0.03972,24.95,598.7,294,2|98,20.3,7.364,0.3627,24.89,613.6,294,2|98,20.3,17.88,0.8807,25.38,596.4,294,2|98,20.3,60.08,2.96,25.53,597.2,294,2|98,20.3,58.7,2.891,25.72,1189,588,2|98,20.3,6.989,0.3443,25.21,1194,588
2|99,10.2,0.4521,0.04432,24.94,601.7,297,2|99,10.2,5.098,0.4998,24.89,616.6,297,2|99,10.2,12.41,1.216,25.39,599.4,297,2|99,10.2,41.78,4.095,25.53,600.2,297,2|99,10.2,40.88,4.007,25.71,1195,594,2|99,10.2,4.798,0.4703,25.21,1200,594
2|100,0.1009,0,0,24.95,604.7,300,2|100,0.1008,0.04477,0.444,24.9,619.6,300,2|100,0.1008,1.502,14.9,25.37,602.4,300,2|100,0.1009,4.54,45,25.53,603.2,300,2|100,0.1008,4.181,41.47,25.71,1201,600,2|100,0.1008,0.786,7.794,25.22,1206,600
