R01_point_id,R01_shear_rate_s_inv,R01_stress_Pa,R01_viscosity_Pa_s,R01_temperature_C,R01_elapsed_s,R01_segment_s,R02_point_id,R02_shear_rate_s_inv,R02_stress_Pa,R02_viscosity_Pa_s,R02_temperature_C,R02_elapsed_s,R02_segment_s,R03_point_id,R03_shear_rate_s_inv,R03_stress_Pa,R03_viscosity_Pa_s,R03_temperature_C,R03_elapsed_s,R03_segment_s,R04_point_id,R04_shear_rate_s_inv,R04_stress_Pa,R04_viscosity_Pa_s,R04_temperature_C,R04_elapsed_s,R04_segment_s,R05_point_id,R05_shear_rate_s_inv,R05_stress_Pa,R05_viscosity_Pa_s,R05_temperature_C,R05_elapsed_s,R05_segment_s,R06_point_id,R06_shear_rate_s_inv,R06_stress_Pa,R06_viscosity_Pa_s,R06_temperature_C,R06_elapsed_s,R06_segment_s
1|25,242.5,5.702,0.02351,24.89,79.58,75.01,1|25,242.5,42.3,0.1745,24.83,94.42,75,1|25,242.5,79.63,0.3284,25.29,77.22,75,1|25,242.5,214.2,0.8832,25.43,78.15,75.01,1|25,242.5,217.7,0.8977,25.57,150.8,150,1|25,242.5,41.72,0.1721,25.07,156.2,150
1|26,252.6,5.659,0.0224,24.88,82.58,78.01,1|26,252.6,43.28,0.1713,24.85,97.42,78,1|26,252.6,81.23,0.3216,25.28,80.22,78,1|26,252.6,218.3,0.8641,25.43,81.15,78.01,1|26,252.6,221.5,0.8769,25.56,156.8,156,1|26,252.6,42.72,0.1691,25.05,162.2,156
1|27,262.7,5.735,0.02183,24.88,85.58,81.01,1|27,262.7,44.27,0.1685,24.84,100.4,81,1|27,262.7,82.76,0.315,25.27,83.22,81,1|27,262.7,222.2,0.8459,25.43,84.15,81.01,1|27,262.7,225.3,0.8577,25.58,162.8,162,1|27,262.7,43.75,0.1666,25.06,168.2,162
1|28,272.8,5.759,0.02111,24.9,88.58,84.01,1|28,272.8,45.29,0.166,24.82,103.4,84,1|28,272.8,84.23,0.3088,25.28,86.22,84,1|28,272.8,226,0.8285,25.43,87.15,84.01,1|28,272.8,228.9,0.839,25.58,168.8,168,1|28,272.8,44.63,0.1636,25.06,174.2,168
1|29,282.9,5.74,0.02029,24.89,91.58,87.01,1|29,282.9,46.27,0.1636,24.84,106.4,87,1|29,282.9,85.87,0.3035,25.3,89.22,87,1|29,282.9,229.7,0.8118,25.42,90.15,87.01,1|29,282.9,232.3,0.821,25.56,174.8,174,1|29,282.9,45.28,0.16,25.06,180.2,174
1|30,293,5.983,0.02042,24.89,94.58,90.01,1|30,293,47.25,0.1613,24.85,109.4,90,1|30,293,87.32,0.298,25.28,92.22,90,1|30,293,233.1,0.7956,25.42,93.15,90.01,1|30,293,235.5,0.8037,25.58,180.8,180,1|30,293,46.06,0.1572,25.05,186.2,180
1|31,303.1,6.298,0.02078,24.92,97.58,93.01,1|31,303.1,48.13,0.1588,24.84,112.4,93,1|31,303.1,88.73,0.2927,25.3,95.22,93,1|31,303.1,236.4,0.7799,25.43,96.15,93.01,1|31,303.1,238.8,0.7878,25.56,186.8,186,1|31,303.1,46.93,0.1548,25.06,192.2,186
1|32,313.2,6.4,0.02044,24.9,100.6,96.01,1|32,313.2,49.05,0.1566,24.83,115.4,96,1|32,313.2,90.08,0.2876,25.29,98.22,96,1|32,313.2,239.2,0.7639,25.43,99.15,96.01,1|32,313.2,241.7,0.7717,25.57,192.8,192,1|32,313.2,47.88,0.1529,25.05,198.2,192
1|33,323.3,6.538,0.02022,24.9,103.6,99.01,1|33,323.3,49.93,0.1544,24.84,118.4,99,1|33,323.3,91.6,0.2833,25.28,101.2,99,1|33,323.3,241.7,0.7475,25.44,102.1,99.01,1|33,323.3,244.6,0.7567,25.58,198.8,198,1|33,323.3,48.56,0.1502,25.06,204.2,198
1|34,333.4,6.825,0.02047,24.89,106.6,102,1|34,333.4,50.72,0.1521,24.83,121.4,102,1|34,333.4,93.1,0.2792,25.29,104.2,102,1|34,333.4,243.7,0.7311,25.44,105.1,102,1|34,333.4,247.4,0.7419,25.57,204.8,204,1|34,333.4,49.8,0.1494,25.06,210.2,204
1|35,343.5,7.091,0.02064,24.88,109.6,105,1|35,343.5,51.46,0.1498,24.85,124.4,105,1|35,343.5,94.48,0.275,25.3,107.2,105,1|35,343.5,245.8,0.7155,25.43,108.1,105,1|35,343.5,250.1,0.7281,25.58,210.8,210,1|35,343.5,50.1,0.1459,25.06,216.2,210
1|36,353.6,7.227,0.02044,24.9,112.6,108,1|36,353.6,52.26,0.1478,24.84,127.4,108,1|36,353.6,95.86,0.2711,25.3,110.2,108,1|36,353.6,247.8,0.7008,25.45,111.1,108,1|36,353.6,252.7,0.7148,25.57,216.8,216,1|36,353.6,50.81,0.1437,25.07,222.2,216
1|37,363.7,7.445,0.02047,24.9,115.6,111,1|37,363.7,52.99,0.1457,24.84,130.4,111,1|37,363.7,97.15,0.2671,25.29,113.2,111,1|37,363.7,249.9,0.687,25.44,114.1,111,1|37,363.7,255.2,0.7018,25.57,222.8,222,1|37,363.7,51.62,0.1419,25.07,228.2,222
1|38,373.8,7.622,0.02039,24.89,118.6,114,1|38,373.8,53.78,0.1439,24.84,133.4,114,1|38,373.8,98.5,0.2635,25.29,116.2,114,1|38,373.8,252,0.6741,25.45,117.1,114,1|38,373.8,257.6,0.689,25.57,228.8,228,1|38,373.8,52.33,0.14,25.08,234.2,228
1|39,383.9,7.806,0.02033,24.89,121.6,117,1|39,383.9,54.58,0.1422,24.83,136.4,117,1|39,383.9,99.7,0.2597,25.3,119.2,117,1|39,383.9,254.1,0.6619,25.45,120.1,117,1|39,383.9,259.7,0.6764,25.59,234.8,234,1|39,383.9,53.02,0.1381,25.06,240.2,234
1|40,394,7.939,0.02015,24.9,124.6,120,1|40,394,55.38,0.1406,24.84,139.4,120,1|40,394,100.9,0.2561,25.3,122.2,120,1|40,394,256.2,0.6503,25.45,123.1,120,1|40,394,261.5,0.6636,25.58,240.8,240,1|40,394,53.58,0.136,25.07,246.2,240
1|41,404.1,8.244,0.0204,24.89,127.6,123,1|41,404.1,56.15,0.139,24.83,142.4,123,1|41,404.1,102,0.2525,25.3,125.2,123,1|41,404.1,258.2,0.639,25.45,126.1,123,1|41,404.1,263.9,0.6531,25.59,246.8,246,1|41,404.1,54.52,0.1349,25.07,252.2,246
